version,1
codebook_name,mixed_125MHD4_263MHD2
bit_names,RS0109_cy5,RS0175_cy5,RS0237_cy5,RS0307_cy5,RS0332_cy5,RS0384_atto565,RS0406_atto565,RS0451_atto565,RS0468_atto565,RS0548_atto565,RS64.0_atto565,RS156.0_alexa488,RS278.0_alexa488,RS313.0_alexa488,RS643.0_alexa488,RS740.0_alexa488,RS810.0_alexa488,RSN9927.0_cy5,RSN2336.0_cy5,RSN1807.0_cy5,RSN4287.0_atto565,RSN1252.0_atto565,RSN9535.0_atto565
name, id, barcode
CACNA1A,ENST00000638009,000100000010000000100010
CACNA1B,ENST00000371372,000100000010000001010000
CACNA1C,ENST00000399655,000100000010000100001000
CACNA1D,ENST00000288139,000100000100000000001010
CACNA1E,ENST00000621791,000100000100000100000001
CACNA1F,ENST00000376265,000100000100010000010000
CACNA1G,ENST00000354983,000100000100100000100000
,ENST00000348261,000100000111000000000000
CACNA1I,ENST00000402142,000100001000000000000110
,ENST00000362061,000100001000000001001000
CALML5,ENST00000380332,000100001000000010100000
CALML6,ENST00000307786,000100001000001000010000
CAMK1G,ENST00000009105,000100001000100100000000
,ENST00000348628,000100010000000100010000
,ENST00000477224,000100010000001000001000
CAPN10,ENST00000404753,000100010000010000000100
CAPN11,ENST00000398776,000100010001100000000000
CAPN12,ENST00000328867,000100010010000010000000
CAPN13,ENST00000295055,000100011100000000000000
CAPN14,ENST00000403897,000100100000000100000010
CAPN3,ENST00000397163,000100100000010001000000
CAPN5,ENST00000278559,000100100000100000001000
CAPN6,ENST00000324068,000100100001000010000000
CAPN7,ENST00000253693,000100100100001000000000
CAPN8,ENST00000366873,000100101000000000000001
CAPN9,ENST00000354537,000101000000000010010000
CAPNS2,ENST00000457326,000101000000001100000000
CAPS,ENST00000588776,000101000001000000100000
CAPS2,ENST00000393284,000101000010010000000000
,ENST00000397367,000101010000000000000001
CASQ1,ENST00000368078,000101100000000000000100
CASQ2,ENST00000261448,000110000000010010000000
CASR,ENST00000639785,000110000000100000010000
CBY3,ENST00000376974,000110000001000000000001
,ENST00000295589,000110000100000000000100
CCKBR,ENST00000525462,000110001010000000000000
CCNG2,ENST00000316355,000110010000000001000000
,ENST00000226279,000110100000000000100000
CERKL,ENST00000410087,000111000000000000000010
CHP1,ENST00000334660,001000000000000001011000
CHP2,ENST00000300113,001000000000000010001010
CHRM1,ENST00000306960,001000000000000010010100
CHRM2,ENST00000445907,001000000000000010100001
CHRM3,ENST00000255380,001000000000001001100000
CHRM5,ENST00000383263,001000000000001100001000
CPPED1,ENST00000381774,001000000000010000110000
CRACR2A,ENST00000440314,001000000000010101000000
CRACR2B,ENST00000528542,001000000000100001000100
,ENST00000614798,001000000000101000000001
,ENST00000282018,001000000001000000000011
DCLK1,ENST00000360631,001000000001000000100100
DCLK2,ENST00000296550,001000000001001010000000
,ENST00000636136,001000000001110000000000
DGKB,ENST00000403951,001000000010000000001001
DGKG,ENST00000265022,001000000010000100000010
DGKI,ENST00000453654,001000000010001000010000
,ENST00000611977,001000000010100000100000
,ENST00000393752,001000000100000000010010
DRD5,ENST00000304374,001000000100000100000100
DUOX2,ENST00000389039,001000000101000001000000
DYSF,ENST00000258104,001000001000000100000001
EDF1,ENST00000371648,001000001000001000000010
EDNRA,ENST00000324300,001000001000010000001000
EDNRB,ENST00000377211,001000001010000000000100
EFCAB1,ENST00000433756,001000001100000000100000
EFCAB2,ENST00000366523,001000010000000001000001
EFCAB3,ENST00000450662,001000010000000110000000
EFCAB5,ENST00000394835,001000010000011000000000
EFCAB6,ENST00000262726,001000010000100000010000
EFCAB7,ENST00000371088,001000010110000000000000
EFCAB8,ENST00000400522,001000100000000011000000
EGFR,ENST00000275493,001000100000010000000001
ENKUR,ENST00000331161,001000100000100000000010
ERBB2,ENST00000269571,001000101000000000010000
ERBB3,ENST00000267101,001000110001000000000000
ERBB4,ENST00000342788,001001000000010000000100
F2R,ENST00000319211,001001000001000000010000
FER1L5,ENST00000623246,001001000010000010000000
FER1L6,ENST00000522917,001001000100000000001000
FRMD3,ENST00000304195,001001001000100000000000
GNA14,ENST00000341700,001001010000000000000010
GNAL,ENST00000334049,001001100000001000000000
GNAS,ENST00000371085,001010000000000001000010
GRIN1,ENST00000371553,001010000000100100000000
GRIN2A,ENST00000396573,001010000001000000001000
GRIN2C,ENST00000293190,001010000010010000000000
GRIN2D,ENST00000263269,001010001000000010000000
,ENST00000492807,001010010000000000000100
GRM5,ENST00000455756,001010100100000000000000
GRPR,ENST00000380289,001011000000000000100000
HPCA,ENST00000373467,001100000000000000001100
HPCAL1,ENST00000307845,001100000000000000010001
HPCAL4,ENST00000372844,001100000000010000000010
HRH1,ENST00000397056,001100000100000010000000
,ENST00000636584,001100001001000000000000
,ENST00000542664,001100010000000000100000
HTR2B,ENST00000258400,001100100010000000000000
HTR2C,ENST00000276198,001101000000000001000000
HTR4,ENST00000360693,001110000000001000000000
,ENST00000287907,010000000000000001010010
HTR6,ENST00000289753,010000000000000010100100
HTR7,ENST00000371719,010000000000000100001001
ITPRIPL1,ENST00000361124,010000000000001001000001
ITSN1,ENST00000381291,010000000000001100100000
ITSN2,ENST00000622089,010000000000010100000010
LETM1,ENST00000302787,010000000000100000110000
LETM2,ENST00000519476,010000000000100001001000
LETMD1,ENST00000547008,010000000000110000000100
LHCGR,ENST00000294954,010000000001000101000000
LTB4R2,ENST00000528054,010000000001011000000000
MCTP1,ENST00000429576,010000000001100000000001
,ENST00000318063,010000000010000010001000
MYLK,ENST00000360772,010000000010001000000010
MYLK2,ENST00000375994,010000000010010001000000
MYLK3,ENST00000394809,010000000100000000000101
MYLK4,ENST00000274643,010000000100000110000000
MYO9A,ENST00000356056,010000000101000000100000
MYOF,ENST00000359263,010000001000000000011000
NCALD,ENST00000395923,010000001000000000100001
NOS1,ENST00000618760,010000001000000010000010
NOS2,ENST00000313735,010000001001000000000100
NOS3,ENST00000297494,010000001010000100000000
NPAT,ENST00000278612,010000001100001000000000
NPC1,ENST00000269228,010000010000000010000001
NPC1L1,ENST00000289547,010000010000100100000000
NPC2,ENST00000555619,010000010001000000010000
NTSR1,ENST00000370501,010000010010000000000100
NUCB2,ENST00000529010,010000010100000000000010
,ENST00000272371,010000100000000000010001
OXTR,ENST00000316793,010000100000000001000100
P2RX1,ENST00000225538,010000100000001000001000
P2RX2,ENST00000542301,010000100000010010000000
